RSLT1306 (Chromatogram RI)	
X:	Y:
0.00000	-0.013
0.00167	0.001
0.00333	0.002
0.00500	-0.014
0.00667	-0.013
0.00833	-0.002
0.01000	-0.007
0.01167	-0.025
0.01333	-0.033
0.01500	-0.027
0.01667	-0.030
0.01833	-0.046
0.02000	-0.051
0.02167	-0.037
0.02333	-0.037
0.02500	-0.049
0.02667	-0.056
0.02833	-0.043
0.03000	-0.039
0.03167	-0.049
0.03333	-0.055
0.03500	-0.038
0.03667	-0.033
0.03833	-0.043
0.04000	-0.046
0.04167	-0.031
0.04333	-0.029
0.04500	-0.041
0.04667	-0.051
0.04833	-0.039
0.05000	-0.038
0.05167	-0.048
0.05333	-0.053
0.05500	-0.036
0.05667	-0.032
0.05833	-0.040
0.06000	-0.053
0.06167	-0.043
0.06333	-0.042
0.06500	-0.054
0.06667	-0.067
0.06833	-0.058
0.07000	-0.059
0.07167	-0.068
0.07333	-0.079
0.07500	-0.064
0.07667	-0.058
0.07833	-0.068
0.08000	-0.083
0.08167	-0.075
0.08333	-0.072
0.08500	-0.082
0.08667	-0.100
0.08833	-0.088
0.09000	-0.085
0.09167	-0.094
0.09333	-0.107
0.09500	-0.098
0.09667	-0.089
0.09833	-0.096
0.10000	-0.110
0.10167	-0.094
0.10333	-0.087
0.10500	-0.091
0.10667	-0.103
0.10833	-0.090
0.11000	-0.083
0.11167	-0.088
0.11333	-0.100
0.11500	-0.093
0.11667	-0.081
0.11833	-0.083
0.12000	-0.092
0.12167	-0.082
0.12333	-0.075
0.12500	-0.080
0.12667	-0.092
0.12833	-0.087
0.13000	-0.075
0.13167	-0.075
0.13333	-0.086
0.13500	-0.079
0.13667	-0.065
0.13833	-0.068
0.14000	-0.081
0.14167	-0.082
0.14333	-0.069
0.14500	-0.069
0.14667	-0.079
0.14833	-0.077
0.15000	-0.064
0.15167	-0.065
0.15333	-0.076
0.15500	-0.075
0.15667	-0.061
0.15833	-0.062
0.16000	-0.076
0.16167	-0.077
0.16333	-0.059
0.16500	-0.061
0.16667	-0.072
0.16833	-0.074
0.17000	-0.058
0.17167	-0.056
0.17333	-0.063
0.17500	-0.067
0.17667	-0.049
0.17833	-0.047
0.18000	-0.060
0.18167	-0.066
0.18333	-0.054
0.18500	-0.052
0.18667	-0.063
0.18833	-0.066
0.19000	-0.048
0.19167	-0.043
0.19333	-0.054
0.19500	-0.060
0.19667	-0.048
0.19833	-0.047
0.20000	-0.054
0.20167	-0.060
0.20333	-0.042
0.20500	-0.039
0.20667	-0.050
0.20833	-0.059
0.21000	-0.039
0.21167	-0.036
0.21333	-0.043
0.21500	-0.050
0.21667	-0.039
0.21833	-0.035
0.22000	-0.047
0.22167	-0.060
0.22333	-0.048
0.22500	-0.040
0.22667	-0.047
0.22833	-0.059
0.23000	-0.047
0.23167	-0.040
0.23333	-0.049
0.23500	-0.059
0.23667	-0.045
0.23833	-0.039
0.24000	-0.044
0.24167	-0.055
0.24333	-0.040
0.24500	-0.031
0.24667	-0.035
0.24833	-0.047
0.25000	-0.037
0.25167	-0.030
0.25333	-0.038
0.25500	-0.051
0.25667	-0.039
0.25833	-0.027
0.26000	-0.033
0.26167	-0.043
0.26333	-0.035
0.26500	-0.025
0.26667	-0.030
0.26833	-0.043
0.27000	-0.039
0.27167	-0.028
0.27333	-0.028
0.27500	-0.040
0.27667	-0.037
0.27833	-0.025
0.28000	-0.028
0.28167	-0.040
0.28333	-0.036
0.28500	-0.023
0.28667	-0.025
0.28833	-0.036
0.29000	-0.033
0.29167	-0.020
0.29333	-0.022
0.29500	-0.037
0.29667	-0.036
0.29833	-0.024
0.30000	-0.024
0.30167	-0.033
0.30333	-0.034
0.30500	-0.023
0.30667	-0.026
0.30833	-0.040
0.31000	-0.041
0.31167	-0.026
0.31333	-0.025
0.31500	-0.038
0.31667	-0.041
0.31833	-0.025
0.32000	-0.023
0.32167	-0.034
0.32333	-0.035
0.32500	-0.024
0.32667	-0.029
0.32833	-0.043
0.33000	-0.044
0.33167	-0.027
0.33333	-0.021
0.33500	-0.031
0.33667	-0.037
0.33833	-0.024
0.34000	-0.021
0.34167	-0.033
0.34333	-0.040
0.34500	-0.026
0.34667	-0.026
0.34833	-0.036
0.35000	-0.040
0.35167	-0.026
0.35333	-0.021
0.35500	-0.031
0.35667	-0.036
0.35833	-0.022
0.36000	-0.017
0.36167	-0.025
0.36333	-0.032
0.36500	-0.021
0.36667	-0.018
0.36833	-0.028
0.37000	-0.033
0.37167	-0.015
0.37333	-0.008
0.37500	-0.017
0.37667	-0.027
0.37833	-0.016
0.38000	-0.008
0.38167	-0.014
0.38333	-0.024
0.38500	-0.018
0.38667	-0.011
0.38833	-0.018
0.39000	-0.027
0.39167	-0.018
0.39333	-0.011
0.39500	-0.017
0.39667	-0.027
0.39833	-0.018
0.40000	-0.008
0.40167	-0.009
